Country;IDCountry;populationGroup;IDpopulationGroup;Category1;IDCategory1;avg_GramsPerDay;CategoryLevel
Bulgaria;24;Elderly;12;Fish;10488027;177;1
Latvia;132;Adolescents;7;Fruit and fruit products;10487162;177;1
Latvia;132;Elderly;12;Grains and grain products;10485778;177;1
Romania;185;Elderly;12;Fruit and fruit products;10487162;177;1
Croatia;97;Adults;10;Vegetables;10486258;176;1
Spain;67;Adults;10;Grains and grain products;10485778;176;1
Latvia;132;Adults;10;Grains and grain products;10485778;176;1
Netherlands;162;Elderly;12;Fruit and fruit products;10487162;176;1
France;75;Adults;10;Alcoholic beverages;10489503;175;1
Estonia;63;Adolescents;7;Grains and grain products;10485778;175;1
Latvia;132;Adolescents;7;Milk and Milk based Products;10488473;175;1
Estonia;63;Adults;10;Fruit and fruit products;10487162;175;1
Spain;67;Infants;1;Fruit and fruit products;10487162;175;1
Spain;67;Adults;10;Grains and grain products;10485778;175;1
Denmark;58;Adolescents;7;Alcoholic beverages;10489503;173;1
Croatia;97;Adults;10;Fruit and fruit products;10487162;173;1
Sweden;193;Elderly;12;Grains and grain products;10485778;173;1
Portugal;180;Elderly;12;Grains and grain products;10485778;173;1
Latvia;132;Adolescents;7;Fruit and fruit products;10487162;172;1
Latvia;132;Adolescents;7;Grains and grain products;10485778;172;1
Romania;185;Adults;10;Grains and grain products;10485778;172;1
Ireland;101;Adults;10;Meat;10487577;171;1
Spain;67;Adolescents;7;Fruit and fruit products;10487162;171;1
Denmark;58;Adults;10;Vegetables;10486258;170;1
Estonia;63;Adults;10;Vegetables;10486258;170;1
France;75;Adults;10;Fruit and fruit products;10487162;169;1
Sweden;193;Adolescents;7;Grains and grain products;10485778;168;1
Slovenia;196;Adults;10;Vegetables;10486258;168;1
Portugal;180;Elderly;12;Fruit and fruit products;10487162;167;1
Croatia;97;Adults;10;Coffee and Tea;10489360;167;1
Austria;14;Elderly;12;Fruit and fruit products;10487162;167;1
Spain;67;Adolescents;7;Meat;10487577;167;1
Bulgaria;24;Infants;1;Milk and Milk based Products;10488473;166;1
Hungary;99;Elderly;12;Vegetables;10486258;166;1
Estonia;63;Adults;10;Grains and grain products;10485778;166;1
Spain;67;Adults;10;Fruit and fruit products;10487162;164;1
Belgium;22;Elderly;12;Milk and Milk based Products;10488473;164;1
Latvia;132;Adolescents;7;Vegetables;10486258;164;1
United Kingdom;77;Elderly;12;Vegetables;10486258;163;1
Romania;185;Adolescents;7;Alcoholic beverages;10489503;162;1
Slovakia;198;Adults;10;Meat;10487577;162;1
Denmark;58;Adults;10;Vegetables;10486258;162;1
Latvia;132;Elderly;12;Meat;10487577;161;1
Bulgaria;24;Elderly;12;Fruit and fruit products;10487162;161;1
Romania;185;Adults;10;Fruit and fruit products;10487162;161;1
Italy;108;Adolescents;7;Fruit and fruit products;10487162;160;1
Germany;56;Adolescents;7;Fruit and fruit products;10487162;159;1
Bulgaria;24;Adults;10;Fruit and fruit products;10487162;159;1
Poland;175;Adults;10;Fish;10488027;158;1
Hungary;99;Elderly;12;Meat;10487577;157;1
France;75;Adults;10;Meat;10487577;157;1
Latvia;132;Adults;10;Milk and Milk based Products;10488473;156;1
Ireland;101;Elderly;12;Meat;10487577;156;1
Spain;67;Adults;10;Grains and grain products;10485778;156;1
Italy;108;Elderly;12;Alcoholic beverages;10489503;155;1
Spain;67;Adolescents;7;Meat;10487577;155;1
Denmark;58;Adults;10;Fruit and fruit products;10487162;155;1
Spain;67;Elderly;12;Vegetables;10486258;155;1
Belgium;22;Adults;10;Fruit and fruit products;10487162;155;1
Estonia;63;Elderly;12;Grains and grain products;10485778;155;1
Estonia;63;Adults;10;Grains and grain products;10485778;154;1
Cyprus;54;Adolescents;7;Water and water based beverages;10489266;154;1
Hungary;99;Adults;10;Vegetables;10486258;154;1
Austria;14;Adults;10;Meat;10487577;154;1
Finland;70;Adults;10;Vegetables;10486258;153;1
Finland;70;Adults;10;Grains and grain products;10485778;153;1
Finland;70;Elderly;12;Grains and grain products;10485778;153;1
Czech Republic;55;Adolescents;7;Meat;10487577;152;1
Spain;67;Adults;10;Meat;10487577;152;1
Netherlands;162;Elderly;12;Vegetables;10486258;152;1
Romania;185;Adults;10;Milk and Milk based Products;10488473;152;1
Estonia;63;Elderly;12;Vegetables;10486258;151;1
Ireland;101;Adults;10;Vegetables;10486258;151;1
Romania;185;Elderly;12;Meat;10487577;150;1
Denmark;58;Adolescents;7;Fruit and fruit products;10487162;150;1
Spain;67;Adolescents;7;Meat;10487577;148;1
Bulgaria;24;Adolescents;7;Meat;10487577;148;1
Romania;185;Adults;10;Coffee and Tea;10489360;147;1
